Issue_Description,Category,Subcategory,Assignment_group,Resolution_Notes
Computer is slow,Software,Operating System,Software,"Issue: Computer is slow

Resolution: 
1. Basic Checks and Restart:
Restart the computer: Restart can clear temporary files and refresh system resources, often resolving minor slowdowns.
Clean up your desktop: Too many shortcuts and files on your desktop can slow things down. 

2. Software and Drivers:
Update Windows and drivers: Ensured your operating system and device drivers are up to date, as outdated software can lead to performance issues. 
Check for software updates: Made sure all installed programs are updated, as updates often include performance improvements and bug fixes. 
Disabled or removed browser extensions: Excessive extensions can consume resources and slow down your browser. "
Printer in Network - Unable to Print,Network,DNS,Problem Analyzers,"Issue: Printer in Network - Unable to Print

Resolution:
Network Configuration:
IP Address: Confirmed the printer has a valid IP address and that it's on the same network as the devices. Access the printer's web interface or control panel to check its IP address. 
Ping Test: Use the ping command in a terminal window to verify communication with the printer by its IP address. 
Firewall: Ensure that firewalls on your computer or router are not blocking communication to the printer. 

Printer Settings:
Driver: Made sure user have the correct printer driver installed on your computer. 
Print Queue: Checked the print queue on your computer for any stuck or corrupted print jobs. 
Default Printer: Verified that the printer is set as the default printer on your computer. 
Web Interface: Checked the printer's web interface for any error messages or alerts. 


Advanced Troubleshooting:
Static IP: If the printer frequently loses its IP address, consider assigning it a static IP address. 
SNMP: If user having trouble with SNMP, ensured the required dependencies are installed and refer to your printer's documentation. 
Ports: Ensure that the necessary ports (161, 162, and 9100) are open through your firewall. 
Factory Reset: As a last resort, you can try a factory reset on the printer. 

Issue fixed."
Unable to Print using Network Printer,Network,VPN,Network,"Issue:  Unable to Print using Network Printer

Resolution:
1. Basic Checks:
Power Cycle: Turn off the printer, unplug it, wait 30 seconds, then plug it back in and turn it on. 
Restart Router: Unplug the router, wait 30 seconds, then plug it back in. 
Check Connections: Ensure the printer is securely connected to the network via Ethernet or Wi-Fi, and that the cables are properly plugged in. 

2. Network Configuration:
IP Address: Confirmed the printer has a valid IP address and that it's on the same network as the devices. Access the printer's web interface or control panel to check its IP address. 
Ping Test: Use the ping command in a terminal window to verify communication with the printer by its IP address. 
Firewall: Ensure that firewalls on your computer or router are not blocking communication to the printer. 

3. Printer Settings:
Driver: Made sure user have the correct printer driver installed on your computer. 
Print Queue: Checked the print queue on your computer for any stuck or corrupted print jobs. 
Default Printer: Verified that the printer is set as the default printer on your computer. 
Web Interface: Checked the printer's web interface for any error messages or alerts. 
"
Network Printer issue,Network,Wireless,Problem Analyzers,"Issue: Network Printer issue

Resolution:
1. Basic Checks:
Power Cycle: Turn off the printer, unplug it, wait 30 seconds, then plug it back in and turn it on. 
Restart Router: Unplug the router, wait 30 seconds, then plug it back in. 
Check Connections: Ensure the printer is securely connected to the network via Ethernet or Wi-Fi, and that the cables are properly plugged in. 

2. Network Configuration:
IP Address: Confirmed the printer has a valid IP address and that it's on the same network as the devices. Access the printer's web interface or control panel to check its IP address. 
Ping Test: Use the ping command in a terminal window to verify communication with the printer by its IP address. 
Firewall: Ensure that firewalls on your computer or router are not blocking communication to the printer. 
"
Unable to connect Bluetooth device. Showing No input devices.,Inquiry_Help,,,"1. Requested the user to grant control to his laptop
2. Restarted the Bluetooth services with admin rights
3. Post enabling the services the user is able to connect Bluetooth devices

Hence closing the ticket"
Connection issue with CheckPoint VPN,Network,,Help Desk,"Mandatory Steps to perform:
1. Login to the RSA portal on 3cint.com, check the source of the account if it is 3tint.local or 3tint.com.
Source of the account - 3tint.com
2. Check the status of account on RSA if it is locked/enabled/disabled.
Disabled

If the account is in disabled state (this would be mostly 3cint.com), follow the below steps:

1. 3tint.com accounts go in disabled state if it is not used for more 3 months. Even if you enable it, it will again go in disabled state within 5 minutes of enabling it, till the active directory validates a sign in request.
Checked

2. To resolve this, SD Engineer needs to go in a live call with the user, enable the account for the user to be able to connect to Checkpoint VPN. Reset the password for the user and enable back the account again as it would get disabled in 4-5 minutes.
Account enabled to connect Checkpoint VPN also the Password id reset

3. Have the user try RDP to XXX.XX.15.4 using the production account username and password. Even if the user gets error message: Access Denied, AD will validate a sign-in attempt which will stop disabling the AD account.

User confirmed that he is able to connect, hence closing the ticket"
Access requests to CheckPoint,Inquiry_Help,,Help Desk,"Resolution Note: 
Checkpoint VPN installation 
1. User should have a 3tint.com or 3tint.local account with a RSA token assigned. 
User has access to 3tint.com
2. If they have the RSA token assigned, have the user attempt to connect with user ID and passcode.
Was able to connect with user ID and Passcode

Closing the incidents with confirmation from User"
Access requests to FortiClient,Software,,,"Mandatory step to check:
Make sure user is added to FortiClient_Users group on OKTA.

If FortiClient is not installed on the end user laptop: Add the user to the Azure security group: MAPP_Fortinet_FortiClient_6.4.10_Install

Go to Company portal applications>Go to settings on the bottom left and click on Sync for FortiClient get installed (This would be for installation to happen right away)

Post installation: 

Have the user enter the email address in username and work account password. At 48% of the connection, user can either type the OKTA token from the OKTA Verify application or they can type 1, click on submit. This will send a push notification to the user, user can click on Yes, it's me. User should be connected."
Speaker Issue - can't hear,Hardware,,,"Troubleshooting steps:

1. Basic Checks:
• Volume:
Made sure the volume is turned up on both the system and the audio application you're using. 
• Mute:
Verified that the speakers aren't muted either in the system settings or within the application. 
• Output Device:
Control Panel > Sound > Playback tab to confirm that the correct device (usually ""Speakers"" or ""Internal Speakers"") is selected as the default. 
• Cables/Connections:
If using external speakers, ensure they are properly connected, and the volume is adjusted on the speakers themselves. 


2. Audio Driver Issues:
• Update Drivers:
Device Manager, expand ""Sound, video and game controllers,"" and check for updates or update the driver manually.
• Reinstall Drivers:
Tried uninstalling and then letting Windows automatically reinstall the drivers.
• Rollback Drivers:
If the issue started after a Windows update, consider rolling back the drivers to a previous version. 



3. Other Troubleshooting Steps:
• Run Audio Troubleshooter: Windows has a built-in troubleshooter that can diagnose and fix audio problems. 
• Restart Computer: A simple restart can sometimes resolve temporary software glitches. 
• Check for Conflicts: Ensure that no other applications are interfering with the audio output. 
• System Restore: If the issue started recently, try restoring your system to a previous state. 
• Contact Manufacturer: none of the above steps worked, educated contacting laptop manufacturer for further assistance. 

Informed to contact manufacturer.
Issue resolved"
speaker not working in laptop,Hardware,,,"User said speaker is not working in laptop

Troubleshooting steps:

1. Basic Checks:
• Volume:
Made sure the volume is turned up on both the system and the audio application you're using.
• Mute:
Verified that the speakers aren't muted either in the system settings or within the application.
• Output Device:
Control Panel > Sound > Playback tab to confirm that the correct device (usually ""Speakers"" or ""Internal Speakers"") is selected as the default.
• Cables/Connections:
If using external speakers, ensure they are properly connected, and the volume is adjusted on the speakers themselves.


2. Audio Driver Issues:
• Update Drivers:
Device Manager, expand ""Sound, video and game controllers,"" and check for updates or update the driver manually.
• Reinstall Drivers:
Tried uninstalling and then letting Windows automatically reinstall the drivers.
• Rollback Drivers:
If the issue started after a Windows update, consider rolling back the drivers to a previous version.


Issue Resolved"
Mouse issue,Hardware,Mouse,,"User not able to use Mouse in laptop

1. Basic Checks:
Physical Connection:
If using a wired mouse, ensure it's properly plugged into a USB port. Try different ports. 
Wireless Mouse:
If it's a wireless mouse, make sure it's turned on, the receiver is connected, and the batteries are good. 
Restart:
A simple restart of your laptop can often resolve minor glitches that might be preventing the mouse from working properly. 

2. Driver Issues:
Update Drivers:
Outdated or corrupted drivers can cause mouse problems. You can update the drivers through Device Manager. 
Reinstall Drivers:
If updating doesn't fix the issue, you can try reinstalling the drivers by uninstalling them in Device Manager and then restarting your computer. 
Bluetooth Issues:
If you're using a Bluetooth mouse, make sure your Bluetooth adapter is working, and the mouse is properly paired. You may need to update or reinstall the Bluetooth drivers.

3. Hardware and Software Conflicts:
Check for Conflicts:
Disconnect other USB devices to see if the mouse works. Also, disable any unnecessary software or programs that might be interfering with the mouse driver. 
Clean Boot:
A clean boot can help identify if a third-party program is causing the issue. 


4. Advanced Troubleshooting:
System Restore:
Tried using System Restore to go back to a previous state when the mouse was working. 
Reset Windows:
Try resetting Windows to its default settings but be aware that this will delete your personal files and settings. 

Issue resolved.
User able to use Mouse.
"
Mouse not working,Hardware,Mouse,,"Mouse not working in laptop


1. Basic Checks:
Physical Connection:
If using a wired mouse, ensure it's properly plugged into a USB port. Try different ports.
Wireless Mouse:
If it's a wireless mouse, make sure it's turned on, the receiver is connected, and the batteries are good.
Restart:
A simple restart of your laptop can often resolve minor glitches that might be preventing the mouse from working properly.

2. Driver Issues:
Update Drivers:
Outdated or corrupted drivers can cause mouse problems. You can update the drivers through Device Manager.
Reinstall Drivers:
If updating doesn't fix the issue, you can try reinstalling the drivers by uninstalling them in Device Manager and then restarting your computer.
Bluetooth Issues:
If you're using a Bluetooth mouse, make sure your Bluetooth adapter is working, and the mouse is properly paired. You may need to update or reinstall the Bluetooth drivers.

3. Hardware and Software Conflicts:
Check for Conflicts:
Disconnect other USB devices to see if the mouse works. Also, disable any unnecessary software or programs that might be interfering with the mouse driver.
Clean Boot:
A clean boot can help identify if a third-party program is causing the issue.

3rd party interference, hence guided user to reach to 3rd party
Closing the ticket"
mouse not working in laptop,Hardware,Mouse,Service Desk,"
1. Basic Checks:
Physical Connection:
If using a wired mouse, ensure it's properly plugged into a USB port. Try different ports. 
Wireless Mouse:
If it's a wireless mouse, make sure it's turned on, the receiver is connected, and the batteries are good. 
Restart:
A simple restart of your laptop can often resolve minor glitches that might be preventing the mouse from working properly. 

2. Driver Issues:
Update Drivers:
Outdated or corrupted drivers can cause mouse problems. You can update the drivers through Device Manager. 
Reinstall Drivers:
If updating doesn't fix the issue, you can try reinstalling the drivers by uninstalling them in Device Manager and then restarting your computer. 
Bluetooth Issues:
If you're using a Bluetooth mouse, make sure your Bluetooth adapter is working, and the mouse is properly paired. You may need to update or reinstall the Bluetooth drivers.

Mouse worked.
Issue resolved.
"
Network drives are missing,Inquiry_Help,,Help Desk,"Issue: Network drives are missing

Resolution Steps:
Took remote of user's machine and performed below steps
>>Opened File Explore Start menu
>>Selected Map network drive.
>> User provided the path of the network drive. To reconnect to the drives every time user logs on to the PC, checked the Reconnect at sign-in check box.
>>Finish

The network drive was mapped and user was able to access all the files in it.
User confirmed ticket closure."
Server access issue,Inquiry_Help,Internal Application,,"Resolution comments
1. Login to the abcd.net jump server: 10.120.130.93
2. Launch Command prompt: type net user<Space>Windows logon name of the user<Space>/domain and hit enter
3. Check if the password is expired for the user account.
4. If not, login to the RC Devs token link following the KB article"
Outlook Issue - Unable to login,Software,,,"Update Outlook:
Make sure you have the latest version of Outlook installed - Yes
Repair Outlook Profile:
Go to File > Account Settings > Account Settings, select your account, and click Repair. - Complete
Clear Roaming Cache:
Delete all items in the C:\\Users\\UserName\\AppData\\Local\\Microsoft\\Outlook\\RoamCache folder. - NA
Safe Mode:
Start Outlook in safe mode by typing Outlook /safe in the Windows search and then closing and reopening Outlook- NA"
Unable to Boot PC,Hardware,CPU,,"Check BIOS Settings:
Enter the BIOS (or UEFI) settings and ensure the boot order is set correctly, with the hard drive or SSD listed first.
Run System Diagnostics:
Run system diagnostics to check for hardware errors.
Check Hard Drive:
If you suspect a hard drive issue, try booting from a different bootable device to see if the PC can boot from it.
 
BIOS Recovery (if applicable):
BIOS Update Interrupted: If you were in the middle of a BIOS update when the PC stopped working, you might need to perform a BIOS recovery procedure.
 
Restart the PC and it booted up.
Issue resolved"
 unable to send or receive emails from outlook,Software,Email,,"Remote in to user's machine
>>Force closed the Outlook application and restarted the machine
User was still facing the issue
>>Closed Outlook
>>Repaired Office 
Control Panel->Programs and Features->Microsoft Office->Change->Repair
Informed user it'll take few minutes for the Repair to Finish
>>Once complete, asked user to reboot the machine
>> User checked and confirmed he is able to send/receive mails "
Printer Issue,Hardware,Printer,Service Desk,"Unable to connect or unable to print 

Detailed Troubleshooting Steps:
1.      1. Check for Error Lights and Messages:
Look for any error lights or messages displayed on the printer's control panel. 
2.      2. Clear the Print Queue:
If print jobs are stuck in the queue, clear them to see if the issue resolves itself.
3.      3. Restart the Print Spooler:
Restarting the Print Spooler service can resolve issues with printing queues 
4.      4. Solidify the Connection:
Ensure your printer is properly connected to your computer via cable or Wi-Fi. 
5.      5. Verify Printer Selection:
Make sure you've selected the correct printer in your software or operating system settings. 
6.      6. Check Paper and Ink:
Ensure there is sufficient paper in the tray and that ink cartridges (if applicable) are not empty or low, 
7.      7. Update or Reinstall Drivers:
Outdated or corrupted drivers can cause printing problems, so updating or reinstalling them may resolve the issue. 
8.      8. Test the Printer:
Try printing a test page to check if the printer is functioning correctly. 
9.      9. Hard Reset:
If the problem persists, try a hard reset of the printer by unplugging it for a few minutes. 

Able to print
"
Outlook stuck at Loading,Inquiry_Help,,Help Desk,"Steps performed:

>>Guided user to Force close Outlook from Task Manager 
>> Reboot machine and tried relaunching Outlook, issue persisted
>>Created a new Outlook profile
      Control Panel->UserAccount->Mail->Email Accounts->New->Add Email address->Create
>> Added back all the personal folders
>> User checked and confirmed the issue is resolved"
Unable to Print any documents,Hardware,,Hardware,"User is Unable to Print any documents from morning.

Detailed Troubleshooting Steps:
1.      1. Check for Error Lights and Messages:
Look for any error lights or messages displayed on the printer's control panel. 
2.      2. Clear the Print Queue:
If print jobs are stuck in the queue, clear them to see if the issue resolves itself.
3.      3. Restart the Print Spooler:
Restarting the Print Spooler service can resolve issues with printing queues 
4.      4. Solidify the Connection:
Ensure your printer is properly connected to your computer via cable or Wi-Fi. 
5.      5. Verify Printer Selection:
Make sure you've selected the correct printer in your software or operating system settings. 

Able to Print
"
Enable the Pop-up Blocker,Inquiry_Help,Internal Application,Network,"Issue:  Enable the Pop-up Blocker

Trouble Shooting Steps:
1.      Open Internet Explorer: Launch the browser on your computer.
2.      Access Internet Options: Click on the ""Tools"" menu (or the gear icon) in the upper-right corner, then select ""Internet Options,""
3.      Go to the Privacy Tab: In the Internet Options window, click on the ""Privacy"" tab.
4.      Enable the Pop-up Blocker: Under the ""Pop-up Blocker"" section, check the box that says ""Turn on Pop-up Blocker"".
5.      Confirm Changes: Click ""OK"" to save the settings and enable the pop-up blocker. 

Able to open the webpages without any issues."
Network drives are missing,Inquiry_Help,,,"Resolution Steps:
Took remote of user's machine and performed below steps
>>Opened File Explore Start menu
>>Selected Map network drive.
>> User provided the path of the network drive. To reconnect to the drives every time user logs on to the PC, checked the Reconnect at sign-in check box.
>>Finish

The network drive was mapped and user was able to access all the files in it.
User confirmed ticket closure."
Domain Account Password Reset,Inquiry_Help,,,"Steps Performed: 

>>Authenticated User with security questions.
>>Reset password on AD and communicated new password to the user
>>User confirmed login
>>Assisted user to change to a password of his choice
>>Asked user to lock and unlock  with the password he chose
>>User confirmed connection to VPN with new password.

User confirmed resolution and ticket closure"
Microsoft teams unable to call,Network,Wireless,Software,"Issue: User unable to make call using MS Teams.

Resolution:
1. Licensing and Calling Plans:
2. Permissions and Device Settings:
3. Network Check
4. Check for Teams updates: - Ensure latest version of Teams is installed
5. Restarted PC

Issue resolved
"
Assistance with creating New group on Teams,Inquiry_Help,,Help Desk,"Steps Performed:

Assisted user to create group on Teams

>>click Teams on the left side of the app, then click Join or create a team. 
>>click Create team
>>Asked user to choose Build a team from scratch and choose kind of team he want this to be
>>Advised user to name the team and add an optional description. 
>> Click Create. "
copilot not working ,Inquiry_Help,Internal Application,,"Issue: copilot not working in any applications
Resolution: 
Checked for Outages, 
Checked internet connection, 
Checked Copilot activation,
Clear Browser Cache and Cookies,
Restarted PC.

Able to see Copilot in all applications and working fine."
Unable to access the shared folder.,Network,VPN,,"Issue: No access to Shared Folder
Resolution: Gave Permissions to access the folder.  
Verified Network settings - 
Ensured both computers are on the same network . 
Turned on network discovery and file and printer sharing: on both computers: 

Able to Access Shared Folders."
Outlook Issue,Inquiry_Help,,,Closed by Caller
Outlook not responding,Software,Email,,"Issue: Outlook Not Responding
Resolution: Created new Profile, issue resolved
"
Unable to access the shared folder.,Inquiry_Help,,,
Email server is down.,Software,Email,,
Defect tracking tool is down.,Software,,,Reverted to a previous version.
Cannot sign into the company portal app,Inquiry_Help,,,Reinstalled the app
My computer is not detecting the headphone device,Hardware,,,This is not an issue with the USB port. Replaced the headset to resolve the issue.
Unable to post content on a Wiki page,Inquiry_Help,,,
Assessment :  ATF Assessor,Inquiry_Help,,,
ATF : Test1,Inquiry_Help,,,
ATF:TEST2,Inquiry_Help,,,
Need access to the common drive.,Inquiry_Help,,,
Employee payroll application server is down.,Hardware,,Openspace,
Unable to access the personal details section in payroll portal,Inquiry_Help,,,
The USB port on my PC stopped working,Hardware,,,As this is intermittent. Restarting the PC fixes this.
Unable to connect to email,Inquiry_Help,Email,Network,This incident is resolved.
Unable to access team file share,Inquiry_Help,,,
Performance problems with email,Inquiry_Help,,,
Performance problems with wifi,Inquiry_Help,,,
SAP Sales app is not accessible,,,Service Desk,
SAP Materials Management is slow or there is an outage,Software,,Service Desk,
The SAP HR application is not accessible,Inquiry_Help,,Software,
SAP Financial Accounting application appears to be down,Software,,Software,
Manager can't access SAP Controlling application,Software,,Software,
Can't access Exchange server - is it down?,Hardware,,Hardware,
Network storage unavailable,Network,,Hardware,
Having problems with Sales Tools performance,,,,
Issue with email,Inquiry_Help,Email,Software,
Can't access SFA software,Software,,Software,
Can't log into SAP from my laptop today,,,,
My desk phone does not work,Hardware,,,
JavaScript error on hiring page of corporate website,Inquiry_Help,,,
Trouble getting to Oregon mail server,Network,,Network,
my PDF docs are all locked from editing,Software,,Service Desk,"Closed before close notes were made mandatory
  "
Request for a new service,Inquiry_Help,,Service Desk,
Issue with networking,Inquiry_Help,,Network,"Closed before close notes were made mandatory
  "
Reset my password,Inquiry_Help,,Service Desk,"Closed before close notes were made mandatory
  "
Does not look like a backup occurred last night,Software,,Software,asdasdasdsad
File Server is 80% full - Needs upgrade,Inquiry_Help,,Hardware,"Closed before close notes were made mandatory
  "
EMAIL Server Down Again,Inquiry_Help,,Hardware,"Closed before close notes were made mandatory
  "
Need help with Remedy. Can we configure UI?,Inquiry_Help,,,
Lost connection to the wireless network,Hardware,,Network,"Closed before close notes were made mandatory
  "
I can't get my weather report,Inquiry_Help,,Service Desk,
My disk is still having issues. Can't delete a file,Inquiry_Help,,Service Desk,"Closed before close notes were made mandatory
  "
Please remove the latest hotfix from my PC,Software,,,
Seem to have an issue with my hard drive...,Hardware,,Hardware,"Closed before close notes were made mandatory
  "
Need to add more memory to laptop,Hardware,,,
Issue with a web page on wiki,Inquiry_Help,,Service Desk,"Closed before close notes were made mandatory
  "
New employee hire,Inquiry_Help,,,"Closed before close notes were made mandatory
  "
"I need a replacement iPhone, please",Inquiry_Help,,,
Can't launch 64-bit Windows 7 virtual machine,Software,,,
Sales forecast spreadsheet is READ ONLY,,,,
How do I create a sub-folder,Inquiry_Help,,Service Desk,
Rain is leaking on main DNS Server,Hardware,,Hardware,
I can't launch my VPN client since the last software update,Software,,Software,
Missing my home directory,Inquiry_Help,,,Done
EMAIL is slow when an attachment is involved,Inquiry_Help,,Software,Gave workaround
Customer didn't receive eFax,Software,,Database,"Closed before close notes were made mandatory
  "
Need new Blackberry set up,Inquiry_Help,,Hardware,"Closed before close notes were made mandatory
  "
Need Oracle 10GR2 installed,Database,,Database,"Closed before close notes were made mandatory
  "
Reset my password,Inquiry_Help,,Service Desk,"Closed before close notes were made mandatory
  "
Printer in my office is out of toner,Inquiry_Help,,Hardware,"Closed before close notes were made mandatory
  "
Need access to sales DB for the West,Database,,,
Hangs when trying to print VISIO document,Software,,Software,"Closed before close notes were made mandatory
  "
CPU load high for over 10 minutes,Hardware,,Hardware,Fixed
Forgot email password,Inquiry_Help,,Service Desk,"Walked him through settng his password, again.
  "
Wireless access is down in my area,Network,,Network,
Network file shares access issue,Network,,Network,
Can't read email,Network,,Service Desk,"Closed before close notes were made mandatory
  "
